sensor,stl_max,stl_7,stl_30,stl_365,acf_7,acf_30,acf_365,acf_max,fourier_7,fourier_30,fourier_365,fourier_full,ls_7,ls_30,ls_365,confidence_strict,confidence_exploratory,composite_score
sensor_22,0.7759043423954174,0.6193726050490223,0.21228218712101937,0.7759043423954174,0.9109350225291802,0.8593371952117013,0.4135855641443988,0.9109350225291802,0.05897581143537178,0.009875717776122173,0.2964563190883114,0.3645243619464956,0.0590160678367617,0.0,0.28768394923554114,High,High,0.9060518094773793
sensor_5,0.8576428362615361,0.1686158310879396,0.8576428362615361,0.7858747028374046,0.6779299047042767,0.8230898272770496,0.5355308066160591,0.8230898272770496,0.008703019393874745,0.6590516501365113,0.07004123258703687,0.7354443455658795,0.0,0.6544773868066914,0.06967564014424674,High,High,0.9042197990615757
sensor_1,0.8374603254670228,0.17850392811469792,0.8374603254670228,0.7035218154363768,0.6937019201353054,0.804845755898993,0.476380644356266,0.804845755898993,0.0027679918461269715,0.6115193172364799,0.010313077896207612,0.623744796744923,0.0,0.6066687323703729,0.0,High,High,0.8926918244098048
sensor_17,0.6934811524755411,0.646583656835043,0.3171786881368724,0.6934811524755411,0.9209355377898168,0.8803738778385497,0.32550804770678315,0.9209355377898168,0.043592290981630644,0.024273702964968336,0.1899881763972343,0.2573909143617954,0.04372792273204104,0.024739670251741095,0.18507975264370488,High,High,0.8843250070796074
sensor_40,0.8110360707333172,0.5416280761597465,0.5908793937164172,0.8110360707333172,0.7284137272349199,0.790182943126951,0.5857476897011693,0.790182943126951,0.06731781223979882,0.2056917306710413,0.586563015525262,0.8595250279072422,0.0671678964874004,0.20298588647341842,0.5738786983298404,High,High,0.8803657041580805
sensor_8,0.7890838699975262,0.5870009100669211,0.7890838699975262,0.729452654174718,0.5465832443144496,0.7833195494166548,0.4558334866453906,0.7833195494166548,0.07772435523710941,0.6030571340556394,0.04769921836426283,0.7259865850125806,0.07750404564206806,0.5978270400828894,0.04662599536601348,High,High,0.8717210258242543
sensor_24,0.8041943221343993,0.5717827820884942,0.5570904459947418,0.8041943221343993,0.7158828676538118,0.7504262002755021,0.5262246887815079,0.7504262002755021,0.07499670804994507,0.18649850468686147,0.4887211584457142,0.7456968953817746,0.07464234347466216,0.18412655628819458,0.47766348007710285,High,High,0.8663861567229705
sensor_25,0.7611777250761477,0.5285150457643989,0.19517503433119415,0.7611777250761477,0.7748674052212092,0.7050683750361854,0.4863171523488321,0.7748674052212092,0.0942418821611013,0.011273117099733332,0.49768129868076083,0.6031901781017794,0.09402360324444889,0.0,0.496211975618253,High,High,0.8608135390892071
sensor_14,0.7701548760430684,0.6064972235686737,0.5759721750908395,0.7701548760430684,0.6448398024984827,0.7649274918489494,0.4613830697415346,0.7649274918489494,0.1025735402158674,0.2548678947416658,0.3315996559061273,0.6852814512454771,0.10211461017777952,0.25250944576231765,0.3241279352557584,High,High,0.8605247103676054
sensor_16,0.6737886549258139,0.41564193219272955,0.6737886549258139,0.6363471417603314,0.832774358016748,0.8584828158456094,0.34081957000334445,0.8584828158456094,0.023659551689590552,0.14194654722027056,0.08758617269208269,0.25272651949972613,0.023579849279467605,0.1434156360435807,0.08689933251109509,High,High,0.859681441231427
sensor_2,0.7209887015646328,0.6123660172115549,0.6453959307013974,0.7209887015646328,0.5796507022866252,0.7782054702847397,0.4083284820659207,0.7782054702847397,0.10924849272132908,0.3587150023630187,0.15499134504484902,0.6200642644279466,0.10915991523375862,0.3562089003364166,0.15129038156561914,High,High,0.8497582515548118
sensor_26,0.539841181464529,0.08043192166725323,0.06204553390460344,0.539841181464529,0.9460810603608883,0.8121113768267074,0.3279598087962386,0.9460810603608883,0.0015416145152389316,0.004958562161432423,0.2409632714068568,0.24740165829160332,0.0,0.0,0.233407225211092,High,High,0.8457766725476252
sensor_9,0.724109192877189,0.585073086574545,0.2987572819981287,0.724109192877189,0.7525132556223538,0.7048018985020816,0.4381245696248659,0.7525132556223538,0.12547467881669216,0.07200358671342744,0.3996770893568936,0.5951221465845892,0.12517758274018076,0.07274096545454169,0.39212470019987444,High,High,0.8429867345498628
sensor_4,0.74675972891542,0.44213569828339566,0.32580527469157716,0.74675972891542,0.7227996725902489,0.7111748514393061,0.3579320587630351,0.7227996725902489,0.07609940282922989,0.06893840675331053,0.26845646067491724,0.4106776833007695,0.07618225778955746,0.06895307205219714,0.260686646174361,High,High,0.8408678204517006
sensor_27,0.7090821635467609,0.6373301439747747,0.5050271398644938,0.7090821635467609,0.5951480233828899,0.7005858889126912,0.3916893143412732,0.7005858889126912,0.14557756278658474,0.2338199345440911,0.18083502587442557,0.556974691494313,0.1451491036366953,0.23244862557964743,0.17720955936795155,High,High,0.8229004157378357
sensor_10,0.6497490154994674,0.5601777031745975,0.45749052922604705,0.6497490154994674,0.6506884502456448,0.7293993134120761,0.3741374119520987,0.7293993134120761,0.116409870215888,0.1688062148671161,0.1876224957671262,0.4707781799770794,0.11611429837701895,0.16630810289725853,0.18398471816716347,High,High,0.813744498673463
sensor_7,0.6589795651118487,0.6589795651118487,0.44884769037956096,0.6133422000231199,0.5619412953601091,0.7048860587262922,0.32152454189281315,0.7048860587262922,0.20327190374667292,0.24590401656417538,0.02305610696843119,0.4718164554078318,0.2026343504267573,0.24289016158319215,0.03634324176556954,High,High,0.8091596871514423
sensor_30,0.6447001901368744,0.5522815872439849,0.24160791747313415,0.6447001901368744,0.640815345243175,0.6554062983573858,0.4202108269014641,0.6554062983573858,0.18630811317562512,0.0730956974897018,0.27239159844244365,0.5307614877513249,0.1853485174733313,0.07472415391606906,0.26956351247756344,High,High,0.7900319465482781
sensor_12,0.533178231678753,0.264309782997249,0.26637622537379513,0.533178231678753,0.49287591388029584,0.46927679344637285,0.18967940603879394,0.49287591388029584,0.08418610078487387,0.060427286353897935,0.023970139875905017,0.1677363545028946,0.08328947800849978,0.06095906909486065,0.02343275357057948,High,High,0.7078162436677147
